scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T12:05:23.266511+00:00,2026-04-05T12:05:24.085316+00:00,2026-04-05T12:05:25.141285+00:00,0.818805,0.86482,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,1,3
recovery_scenario,2026-04-05T12:05:33.798525+00:00,2026-04-05T12:05:34.597602+00:00,2026-04-05T12:05:35.654515+00:00,0.799077,0.843092,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,2,3
recovery_scenario,2026-04-05T12:05:44.265315+00:00,2026-04-05T12:05:45.005441+00:00,2026-04-05T12:05:46.076426+00:00,0.740126,1.051052,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,3,3
