scenario_name,sync_mode,topology_name,topology_file,target_link,controller_app,background_traffic,configured_repeat_count,poll_interval,samples,detection_samples,detection_mean,detection_p95,detection_stddev,recovery_samples,recovery_mean,recovery_p95,recovery_stddev
link_flap_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,1.0,3,3,0.315459,0.229502,0.14639179658027288,0,,,
link_flap_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,2.0,3,3,0.5600266666666667,0.51093,0.09483019353326005,0,,,
link_flap_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,4.0,3,3,0.6783556666666666,0.758556,0.14672045363055403,0,,,
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,1.0,3,3,0.368695,0.327394,0.10290582912870712,3,0.96816,0.9733,0.036644608343747706
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,2.0,3,3,0.5082283333333334,0.506699,0.0733571250860398,3,1.9578373333333332,2.049849,0.15490200522122227
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,src.controller.topology_aware_switch,none,3,4.0,3,3,0.7679583333333332,0.703333,0.09841877304096452,3,3.8741153333333336,3.884358,0.09856366973123973
