scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T12:02:16.813535+00:00,2026-04-05T12:02:19.196566+00:00,2026-04-05T12:02:23.302826+00:00,2.383031,3.973428,4.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,1,1
recovery_scenario,2026-04-05T12:19:50.076154+00:00,2026-04-05T12:19:52.481222+00:00,2026-04-05T12:19:56.565192+00:00,2.405068,3.96809,4.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,1,1
recovery_scenario,2026-04-05T12:20:07.787381+00:00,2026-04-05T12:20:10.232378+00:00,2026-04-05T12:20:14.312549+00:00,2.444997,4.009195,4.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,1,1
