scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
observation_degradation_scenario,2026-04-05T10:03:00+00:00,2026-04-05T10:03:00.274444+00:00,,0.309363,,2.0,"SYNC_ERROR detected, no false LINK_DOWN. Run 1/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,N/A,,,,src.controller.topology_aware_switch,none,0,,,,8,10,41.64,18,,,,,,,1,3
observation_degradation_scenario,2026-04-05T10:06:00+00:00,2026-04-05T10:06:00.489680+00:00,,0.534522,,2.0,"SYNC_ERROR detected, no false LINK_DOWN. Run 2/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,N/A,,,,src.controller.topology_aware_switch,none,0,,,,8,10,38.15,18,,,,,,,2,3
observation_degradation_scenario,2026-04-05T10:09:00+00:00,2026-04-05T10:09:00.377576+00:00,,0.297695,,2.0,"SYNC_ERROR detected, no false LINK_DOWN. Run 3/3.",polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,N/A,,,,src.controller.topology_aware_switch,none,0,,,,8,10,43.65,18,,,,,,,3,3
