scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T12:07:31.204387+00:00,2026-04-05T12:07:32.791389+00:00,2026-04-05T12:07:34.860241+00:00,1.587002,1.646832,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,1,3
recovery_scenario,2026-04-05T12:07:44.241927+00:00,2026-04-05T12:07:45.780475+00:00,2026-04-05T12:07:47.855131+00:00,1.538548,1.60176,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,2,3
recovery_scenario,2026-04-05T12:07:57.216650+00:00,2026-04-05T12:07:58.778726+00:00,2026-04-05T12:08:00.847705+00:00,1.562076,1.617448,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,icmp,8,3,3
