scenario_name,sync_mode,topology_name,topology_file,target_link,controller_app,background_traffic,background_load_percent,background_target_bandwidth_mbps,configured_repeat_count,poll_interval,samples,detection_samples,detection_mean,detection_p95,detection_stddev,recovery_samples,recovery_mean,recovery_p95,recovery_stddev
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,10.0,10,2.0,10,10,2.5527933000000003,2.954784,0.5466830254976003,10,3.4214708000000003,3.914829,0.4867954777377868
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,30,30.0,10,2.0,10,10,3.0197367999999996,3.7409,0.6982376775516773,10,2.9507351,3.576883,0.856328361723755
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,50,50.0,10,2.0,10,10,1.4968924,1.804505,0.25689128016933543,10,1.8557799999999998,1.997166,0.14022566729596975
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,80,80.0,10,2.0,10,10,0.8466371,0.949316,0.09279015916943996,10,1.8267075000000002,1.911225,0.08071964706717939
