timestamp,scenario_name,background_traffic,background_load_percent,repeat_index,event_name,process_name,pid,cpu_percent,rss_bytes,ctx_switches_voluntary,ctx_switches_involuntary,ctx_switches_total,ctx_switches_delta,ctx_switches_per_second
2026-04-25T11:14:31.203196+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,65208320,395,67,462,0,0.0
2026-04-25T11:14:31.203196+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,0.0,57638912,7,5,12,0,0.0
2026-04-25T11:14:31.305000+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,65228800,443,71,514,52,515.4557
2026-04-25T11:14:31.305000+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,39.6,57991168,17,12,29,17,168.5407
2026-04-25T11:14:31.405918+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,9.9,65232896,537,72,609,95,943.4601
2026-04-25T11:14:31.405918+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,29.8,58003456,39,19,58,29,288.0872
2026-04-25T11:14:31.468998+00:00,recovery_scenario,iperf_tcp,80,1,service_started,,,,,,,,,
2026-04-25T11:14:31.507146+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,29.5,65888256,598,73,671,62,608.8439
2026-04-25T11:14:31.507146+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,58.9,58109952,84,22,106,48,471.1777
2026-04-25T11:14:31.615471+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,1,9.2777
2026-04-25T11:14:31.615471+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,27.8,58126336,116,22,138,32,296.371
2026-04-25T11:14:31.716294+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:31.716294+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,0.0,58134528,123,22,145,7,69.5796
2026-04-25T11:14:31.816854+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:31.816854+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.9,58138624,150,22,172,27,268.6726
2026-04-25T11:14:31.917338+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:31.917338+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.9,58138624,172,22,194,22,218.8795
2026-04-25T11:14:32.017880+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.017880+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,9.9,58138624,192,22,214,20,198.9569
2026-04-25T11:14:32.118366+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.118366+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.9,58146816,213,22,235,21,208.6836
2026-04-25T11:14:32.219436+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.219436+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.8,58146816,231,22,253,18,178.3482
2026-04-25T11:14:32.319971+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.319971+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,10.0,58150912,246,22,268,15,149.2625
2026-04-25T11:14:32.447476+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,15.4,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.447476+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,49.6,58155008,257,22,279,11,77.8655
2026-04-25T11:14:32.561759+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.561759+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,69.6,58163200,274,24,298,19,189.0091
2026-04-25T11:14:32.663411+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.663411+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.7,58167296,300,24,324,26,255.5279
2026-04-25T11:14:32.764980+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.764980+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.7,58175488,318,24,342,18,177.3704
2026-04-25T11:14:32.865474+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.865474+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,29.8,58191872,354,24,378,36,357.8164
2026-04-25T11:14:32.967628+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:32.967628+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,29.4,58208256,392,25,417,39,381.5882
2026-04-25T11:14:33.068347+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.068347+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,29.8,58216448,414,25,439,22,218.7872
2026-04-25T11:14:33.169861+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.169861+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,39.4,58331136,477,25,502,63,620.643
2026-04-25T11:14:33.270367+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.270367+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,10.0,58331136,500,25,525,23,228.6694
2026-04-25T11:14:33.370911+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.370911+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,9.9,58331136,508,25,533,8,79.6212
2026-04-25T11:14:33.471391+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.471391+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,0.0,58331136,519,25,544,11,109.2165
2026-04-25T11:14:33.572230+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,19.8,66027520,599,73,672,0,0.0
2026-04-25T11:14:33.572230+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,59.6,58359808,550,25,575,31,307.9843
2026-04-25T11:14:33.672848+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,9.9,66084864,609,73,682,10,99.3409
2026-04-25T11:14:33.672848+00:00,recovery_scenario,iperf_tcp,80,1,,ryu_controller,505534,19.7,58359808,590,25,615,40,390.8449
2026-04-25T11:14:33.775320+00:00,recovery_scenario,iperf_tcp,80,1,,twin_core,505541,0.0,66084864,612,73,685,3,29.2738
