scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T10:05:00+00:00,2026-04-05T10:05:00.402120+00:00,2026-04-05T10:05:02.270459+00:00,0.40212,1.868339,2.0,geant_backbone_8cities_stage3 run 1/3.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,39.3,18,,,,,,,1,3
recovery_scenario,2026-04-05T10:10:00+00:00,2026-04-05T10:10:00.633280+00:00,2026-04-05T10:10:02.762413+00:00,0.63328,2.129133,2.0,geant_backbone_8cities_stage3 run 2/3.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,43.95,18,,,,,,,2,3
recovery_scenario,2026-04-05T10:15:00+00:00,2026-04-05T10:15:00.849632+00:00,2026-04-05T10:15:02.824781+00:00,0.849632,1.975149,2.0,geant_backbone_8cities_stage3 run 3/3.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,8,10,44.48,18,,,,,,,3,3
recovery_scenario,2026-04-05T10:20:00+00:00,2026-04-05T10:20:00.663063+00:00,2026-04-05T10:20:02.973124+00:00,0.663063,2.310061,2.0,geant2012_core12 run 1/3.,polling,geant2012_core12,data/topologies/geant2012_core12.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,12,15,71.26,26,,,,,,,1,3
recovery_scenario,2026-04-05T10:25:00+00:00,2026-04-05T10:25:00.830925+00:00,2026-04-05T10:25:02.929019+00:00,0.830925,2.098094,2.0,geant2012_core12 run 2/3.,polling,geant2012_core12,data/topologies/geant2012_core12.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,12,15,60.4,26,,,,,,,2,3
recovery_scenario,2026-04-05T10:30:00+00:00,2026-04-05T10:30:00.679967+00:00,2026-04-05T10:30:03.170940+00:00,0.679967,2.490973,2.0,geant2012_core12 run 3/3.,polling,geant2012_core12,data/topologies/geant2012_core12.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,,,,12,15,56.61,26,,,,,,,3,3
