scenario_name,background_traffic,samples,configured_repeat_count,poll_interval,fidelity_truth_source,detection_mean,detection_p95,detection_stddev,recovery_mean,recovery_p95,recovery_stddev,ground_truth_detection_lag_mean,ground_truth_detection_lag_p95,ground_truth_detection_lag_stddev,ground_truth_recovery_lag_mean,ground_truth_recovery_lag_p95,ground_truth_recovery_lag_stddev
recovery_scenario,icmp,10,10,2.0,ovs_mininet,1.0148357000000001,1.413323,0.425917204911248,1.735052,1.898555,0.13093654455956902,1.0109733,1.410137,0.42556121850658574,1.7318894,1.896501,0.1313973559727896
recovery_scenario,iperf_tcp,10,10,2.0,ovs_mininet,0.7160784,0.973372,0.1657979525640772,1.9064704,2.060238,0.21375013697969886,0.7104886,0.968782,0.1656550974538363,1.9021600000000003,2.056547,0.2140760116645488
recovery_scenario,none,10,10,2.0,ovs_mininet,0.2736835,0.350683,0.07442810234884402,1.7004497,2.046085,0.24287189204436566,0.26995120000000006,0.346307,0.07417759946210177,1.6922415999999998,2.043079,0.252440863525381
