scenario_name,sync_mode,topology_name,topology_file,target_link,controller_app,background_traffic,background_load_percent,background_target_bandwidth_mbps,configured_repeat_count,poll_interval,samples,detection_samples,detection_mean,detection_p95,detection_stddev,recovery_samples,recovery_mean,recovery_p95,recovery_stddev
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,10,10.0,10,2.0,10,10,2.4392324,3.069951,0.47226045362325225,10,3.6018878,4.381267,0.6562911639346976
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,30,30.0,10,2.0,10,10,3.3464845,4.205734,0.6989330119410943,10,3.5148861000000005,4.770176,0.918423720949372
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,50,50.0,10,2.0,10,10,1.360806,1.671356,0.3462106883015023,10,1.9359642000000004,2.164097,0.19880039436972954
recovery_scenario,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,src.controller.topology_aware_switch,iperf_tcp,80,80.0,10,2.0,10,10,0.6865041000000001,0.832664,0.25915391740062504,10,1.6691338999999998,1.82337,0.12619406227271548
