scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T12:06:58.049385+00:00,2026-04-05T12:06:58.456441+00:00,2026-04-05T12:07:00.524470+00:00,0.407056,1.947727,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,1,3
recovery_scenario,2026-04-05T12:07:08.619859+00:00,2026-04-05T12:07:09.077056+00:00,2026-04-05T12:07:11.148107+00:00,0.457197,2.022137,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,2,3
recovery_scenario,2026-04-05T12:07:19.719496+00:00,2026-04-05T12:07:20.116834+00:00,2026-04-05T12:07:22.185922+00:00,0.397338,1.962234,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,3,3
