scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,background_load_percent,background_target_bandwidth_mbps,controller_event_queue_depth_at_detection,controller_event_queue_depth_peak_until_detection,controller_events_until_detection,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,resource_log_file,repeat_index,configured_repeat_count
recovery_scenario,2026-04-25T09:23:16.593364+00:00,2026-04-25T09:23:20.022118+00:00,2026-04-25T09:23:23.332791+00:00,3.428754,3.036293,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,44,44,7,0.8404177355787597,0.8847436025569305,0.984186007527467,8,10,1302.0676379092038,28,454,35520,5938,17812036,19035,56785466,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,1,10
recovery_scenario,2026-04-25T09:23:33.018943+00:00,2026-04-25T09:23:35.932858+00:00,2026-04-25T09:23:40.240911+00:00,2.913915,4.019547,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,164,164,7,0.8412881284420706,0.9089212637402806,0.8415964517714017,8,10,2312.933351029642,6,452,35372,5258,15032756,25229,71430642,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,2,10
recovery_scenario,2026-04-25T09:23:49.845420+00:00,2026-04-25T09:23:53.217199+00:00,2026-04-25T09:23:56.861194+00:00,3.371779,3.343232,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,284,284,6,0.841258391693351,0.8921385076472195,0.9892891325824965,8,10,1642.3643380403519,28,450,35144,4588,15509816,14771,53779854,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,3,10
recovery_scenario,2026-04-25T09:24:06.421098+00:00,2026-04-25T09:24:09.144408+00:00,2026-04-25T09:24:14.557075+00:00,2.72331,4.953575,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,405,405,7,0.8407139960430202,0.8817681455847723,0.9658499332829611,8,10,3405.2796160103753,28,456,35732,4648,15513784,20816,57805682,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,4,10
recovery_scenario,2026-04-25T09:24:23.973058+00:00,2026-04-25T09:24:26.962287+00:00,2026-04-25T09:24:31.529250+00:00,2.989229,4.347743,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,520,520,6,0.8409092751059352,0.9001562006389929,0.9768675078163152,8,10,2573.1185280019417,28,442,34508,4596,15513232,23187,61361028,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,5,10
recovery_scenario,2026-04-25T09:24:41.334417+00:00,2026-04-25T09:24:45.540151+00:00,2026-04-25T09:24:48.635541+00:00,4.205734,2.673056,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,636,636,7,0.8405768215562424,0.8665539605659144,0.983250824716134,8,10,1076.7598800593987,28,442,34344,2888,14483476,13018,60658382,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,6,10
recovery_scenario,2026-04-25T09:24:58.560904+00:00,2026-04-25T09:25:01.325058+00:00,2026-04-25T09:25:05.089308+00:00,2.764154,3.357887,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,754,754,7,0.8407449576316168,0.8903999350545235,0.9844190481398243,8,10,1755.1659959135577,28,458,35860,4024,17046848,11114,49609308,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,7,10
recovery_scenario,2026-04-25T09:25:14.835532+00:00,2026-04-25T09:25:17.745860+00:00,2026-04-25T09:25:20.212424+00:00,2.910328,2.248498,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,872,872,7,0.8406141353059832,0.857535807009842,0.982190250460316,8,10,454.13111604284495,28,452,35328,4020,16014144,11198,33001714,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,8,10
recovery_scenario,2026-04-25T09:25:29.827323+00:00,2026-04-25T09:25:32.948468+00:00,2026-04-25T09:25:35.921820+00:00,3.121145,2.398854,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,989,989,7,0.8402595168913254,0.8781184466993397,0.986282325866517,8,10,972.610360942781,28,462,36240,4440,14854240,20755,56771318,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,9,10
recovery_scenario,2026-04-25T09:25:45.460926+00:00,2026-04-25T09:25:50.497423+00:00,2026-04-25T09:25:55.992164+00:00,5.036497,4.770176,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,30,30.0,1105,1105,7,0.8413011904569216,0.8548353977308863,0.9377068451841707,8,10,3487.546149059199,28,456,35760,1647,7713706,5071,14771820,data/exports/load_linearity_recovery_isolated_uniform60_30pct_resource_logs.csv,10,10
recovery_scenario,2026-04-25T09:26:09.122429+00:00,2026-04-25T09:26:10.642100+00:00,2026-04-25T09:26:12.704165+00:00,1.519671,1.969679,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,44,44,7,0.8412183966611583,0.8487592560508102,0.9812641861963102,8,10,79.41526907961816,28,446,34832,7294,14916324,16795,34846562,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,1,10
recovery_scenario,2026-04-25T09:26:21.835301+00:00,2026-04-25T09:26:23.359870+00:00,2026-04-25T09:26:25.778669+00:00,1.524569,1.832022,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,159,159,7,0.8416396668919761,0.8710092025269232,0.9873260381153159,8,10,417.2041000565514,28,454,35536,5390,20411052,17403,51835586,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,2,10
recovery_scenario,2026-04-25T09:26:35.134352+00:00,2026-04-25T09:26:36.124868+00:00,2026-04-25T09:26:38.220794+00:00,0.990516,1.958794,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,273,273,7,0.8414429265804397,0.8861308466416888,0.9925939138845271,8,10,95.91457096394151,28,453,35574,6138,19708000,21309,56710198,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,3,10
recovery_scenario,2026-04-25T09:26:47.643346+00:00,2026-04-25T09:26:48.424233+00:00,2026-04-25T09:26:50.912935+00:00,0.780887,2.164097,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,391,391,7,0.8413144145505378,0.8801793893682281,0.979694841745726,8,10,490.20442098844796,28,450,35204,6092,19309128,18538,48265130,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,4,10
recovery_scenario,2026-04-25T09:27:00.423508+00:00,2026-04-25T09:27:01.897261+00:00,2026-04-25T09:27:03.983468+00:00,1.473753,1.938102,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,511,511,7,0.841232495116526,0.8969032062425061,0.9937194331910718,8,10,85.34646593034267,28,448,35128,5856,18925840,17043,47070310,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,5,10
recovery_scenario,2026-04-25T09:27:13.241511+00:00,2026-04-25T09:27:14.912867+00:00,2026-04-25T09:27:17.016789+00:00,1.671356,1.632651,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,629,629,7,0.8413417797515559,0.8809793051412955,0.98304787912061,8,10,110.65616901032627,28,454,35588,5818,18460204,17440,47449018,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,6,10
recovery_scenario,2026-04-25T09:27:26.641029+00:00,2026-04-25T09:27:27.846334+00:00,2026-04-25T09:27:29.946289+00:00,1.205305,1.695764,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,742,742,7,0.8408185310523878,0.8855054080012561,0.9837248469660815,8,10,98.73781609348953,28,454,35636,6074,18610180,17125,48672762,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,7,10
recovery_scenario,2026-04-25T09:27:39.444839+00:00,2026-04-25T09:27:40.839254+00:00,2026-04-25T09:27:42.996136+00:00,1.394415,1.948536,2.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,iperf_tcp,12,50,50.0,861,861,7,0.8413869956920819,0.8703279684950216,0.9917268892664196,8,10,154.8400439787656,28,454,35540,6012,18930536,18775,51240342,data/exports/load_linearity_recovery_isolated_uniform60_50pct_resource_logs.csv,8,10
