scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,repeat_index,configured_repeat_count
recovery_scenario,2026-04-05T12:04:54.181122+00:00,2026-04-05T12:04:54.884118+00:00,2026-04-05T12:04:55.941547+00:00,0.702996,1.001099,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,1,3
recovery_scenario,2026-04-05T12:05:03.740476+00:00,2026-04-05T12:05:04.243195+00:00,2026-04-05T12:05:05.297538+00:00,0.502719,1.049949,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,2,3
recovery_scenario,2026-04-05T12:05:12.970624+00:00,2026-04-05T12:05:13.603682+00:00,2026-04-05T12:05:14.655823+00:00,0.633058,0.928246,1.0,Expected LINK_DOWN followed by LINK_UP for s2-s4.,geant_backbone_8cities_stage3,/home/yumeng/twin/data/topologies/geant_backbone_8cities_stage3.json,Paris-Frankfurt,Paris,Frankfurt,478.0,src.controller.topology_aware_switch,none,0,3,3
